type	entity
ORGANIZATION	European Commission
LOCATION	Europe
ORGANIZATION	European Commission Licences for Europe Home
ORGANIZATION	Cross
ORGANIZATION	WG1 User Generated Content Working Group WG2 Audiovisual Heritage Working Group WG3 Text and Data Mining Working Group WG4 Participants 1st Plenary Mid
ORGANIZATION	European Commission
LOCATION	Europe
ORGANIZATION	Cross
ORGANIZATION	WG1 User Generated Content Working Group WG2 Audiovisual Heritage Working Group WG3 Text and Data Mining Working Group WG4 Participants 1st Plenary Mid
ORGANIZATION	Licences for Europe
LOCATION	EU
ORGANIZATION	European Commission
LOCATION	Europe
ORGANIZATION	Commissioners Michel Barnier Internal Market and Services Neelie Kroes Digital Agenda
ORGANIZATION	Androulla Vassiliou Education Culture Multilingualism
